date,machine_name,region_id,sex,sdi,baseline_days,status,uid,death_date
2017-04-19,ETHOSCOPE_047,3,F,10,3,OK,243,2017-05-20
2017-04-19,ETHOSCOPE_047,4,F,0,3,OK,244,2017-05-19
2017-04-19,ETHOSCOPE_047,5,F,10,3,OK,245,2017-05-18
2017-04-19,ETHOSCOPE_047,6,F,0,3,OK,246,2017-05-20
2017-04-19,ETHOSCOPE_047,7,F,10,3,OK,247,2017-05-18
2017-04-19,ETHOSCOPE_047,8,F,0,3,OK,248,2017-05-20
2017-04-19,ETHOSCOPE_047,9,F,10,3,OK,249,2017-05-24
2017-04-19,ETHOSCOPE_047,10,F,0,3,OK,250,2017-05-20
2017-04-19,ETHOSCOPE_047,11,F,0,3,OK,251,2017-05-21
2017-04-19,ETHOSCOPE_047,12,F,10,3,OK,252,2017-05-18
2017-04-19,ETHOSCOPE_047,13,F,0,3,OK,253,2017-05-08
2017-04-19,ETHOSCOPE_047,14,F,10,3,OK,254,2017-05-17
2017-04-19,ETHOSCOPE_047,15,F,0,3,OK,255,2017-05-20
2017-04-19,ETHOSCOPE_047,16,F,10,3,OK,256,2017-05-13
2017-04-19,ETHOSCOPE_047,17,F,0,3,OK,257,2017-05-22
2017-04-19,ETHOSCOPE_047,18,F,10,3,OK,258,2017-05-22
2017-04-19,ETHOSCOPE_047,19,F,0,3,OK,259,2017-05-15
2017-04-19,ETHOSCOPE_047,20,F,10,3,OK,260,2017-05-20
2017-04-19,ETHOSCOPE_052,1,M,10,3,OK,261,2017-05-17
2017-04-19,ETHOSCOPE_052,2,M,0,3,OK,262,2017-05-20
2017-04-19,ETHOSCOPE_052,3,M,10,3,OK,263,2017-05-23
2017-04-19,ETHOSCOPE_052,4,M,0,3,OK,264,2017-05-17
2017-04-19,ETHOSCOPE_052,5,M,10,3,todo,265,NA
2017-04-19,ETHOSCOPE_052,6,M,0,3,todo,266,NA
2017-04-19,ETHOSCOPE_052,7,M,10,3,OK,267,2017-05-20
2017-04-19,ETHOSCOPE_052,8,M,0,3,OK,268,2017-05-15
2017-04-19,ETHOSCOPE_052,9,M,10,3,OK,269,2017-05-22
2017-04-19,ETHOSCOPE_052,10,M,0,3,OK,270,2017-05-22
2017-04-19,ETHOSCOPE_052,11,M,0,3,OK,271,2017-05-22
2017-04-19,ETHOSCOPE_052,12,M,10,3,OK,272,2017-05-20
2017-04-19,ETHOSCOPE_052,13,M,0,3,OK,273,2017-05-21
2017-04-19,ETHOSCOPE_052,14,M,10,3,OK,274,2017-05-17
2017-04-19,ETHOSCOPE_052,15,M,0,3,OK,275,2017-05-24
2017-04-19,ETHOSCOPE_052,16,M,10,3,todo,276,NA
2017-04-19,ETHOSCOPE_052,17,M,0,3,OK,277,2017-05-17
2017-04-19,ETHOSCOPE_052,18,M,10,3,OK,278,2017-05-17
2017-04-19,ETHOSCOPE_052,19,M,0,3,OK,279,2017-05-19
2017-04-19,ETHOSCOPE_052,20,M,10,3,OK,280,2017-05-24
2017-04-19,ETHOSCOPE_053,1,M,10,3,OK,281,2017-05-23
2017-04-19,ETHOSCOPE_053,2,M,0,3,OK,282,2017-05-19
2017-04-19,ETHOSCOPE_053,3,M,10,3,OK,283,2017-05-21
2017-04-19,ETHOSCOPE_053,4,M,0,3,OK,284,2017-05-19
2017-04-19,ETHOSCOPE_053,5,M,10,3,OK,285,2017-05-19
2017-04-19,ETHOSCOPE_053,6,M,0,3,OK,286,2017-05-21
2017-04-19,ETHOSCOPE_053,7,M,10,3,OK,287,2017-05-23
2017-04-19,ETHOSCOPE_053,8,M,0,3,OK,288,Inf
2017-04-19,ETHOSCOPE_053,9,M,10,3,OK,289,2017-05-18
2017-04-19,ETHOSCOPE_053,10,M,0,3,OK,290,2017-05-18
2017-04-19,ETHOSCOPE_053,11,M,0,3,OK,291,2017-05-18
2017-04-19,ETHOSCOPE_053,12,M,10,3,OK,292,2017-05-19
2017-04-19,ETHOSCOPE_053,13,M,0,3,OK,293,Inf
2017-04-19,ETHOSCOPE_053,14,M,10,3,OK,294,2017-05-20
2017-04-19,ETHOSCOPE_053,15,M,0,3,OK,295,2017-05-20
2017-04-19,ETHOSCOPE_053,16,M,10,3,OK,296,2017-05-24
2017-04-19,ETHOSCOPE_053,17,M,0,3,OK,297,2017-05-20
2017-04-19,ETHOSCOPE_053,18,M,10,3,OK,298,2017-05-18
2017-04-19,ETHOSCOPE_053,19,M,0,3,OK,299,2017-05-23
2017-04-19,ETHOSCOPE_053,20,M,10,3,OK,300,2017-05-13
2017-04-19,ETHOSCOPE_062,1,F,10,3,OK,301,2017-05-21
2017-04-19,ETHOSCOPE_062,2,F,0,3,OK,302,2017-05-15
2017-04-19,ETHOSCOPE_062,3,F,10,3,OK,303,2017-05-20
2017-04-19,ETHOSCOPE_062,4,F,0,3,OK,304,2017-05-24
2017-04-19,ETHOSCOPE_062,5,F,10,3,OK,305,2017-05-22
2017-04-19,ETHOSCOPE_062,6,F,0,3,OK,306,2017-05-20
2017-04-19,ETHOSCOPE_062,7,F,10,3,OK,307,2017-05-20
2017-04-19,ETHOSCOPE_062,8,F,0,3,OK,308,2017-05-20
2017-04-19,ETHOSCOPE_062,9,F,10,3,OK,309,2017-05-20
2017-04-19,ETHOSCOPE_062,10,F,0,3,OK,310,2017-05-19
2017-04-19,ETHOSCOPE_062,11,F,0,3,OK,311,2017-05-20
2017-04-19,ETHOSCOPE_062,12,F,10,3,OK,312,2017-05-23
2017-04-19,ETHOSCOPE_062,13,F,0,3,OK,313,2017-05-20
2017-04-19,ETHOSCOPE_062,14,F,10,3,OK,314,2017-05-24
2017-04-19,ETHOSCOPE_062,15,F,0,3,OK,315,2017-05-21
2017-04-19,ETHOSCOPE_062,16,F,10,3,OK,316,2017-05-21
2017-04-19,ETHOSCOPE_062,17,F,0,3,OK,317,2017-05-19
2017-04-19,ETHOSCOPE_062,18,F,10,3,OK,318,2017-05-21
2017-04-19,ETHOSCOPE_062,19,F,0,3,OK,319,2017-05-19
2017-04-19,ETHOSCOPE_062,20,F,10,3,OK,320,2017-05-21
